i,executor,block,hash,gasUsed,effectiveGasPrice,gasMetered,price,refund,tip,realFee,ratio,drift,executorNet,paid
19,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494320,0xc6d9e06cb6c007f9a24b3d9ee648b2fe9938e4dfcdf0bdea939fa09aeb629b77,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
20,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494323,0x5ecaa156f0274ad48d15b4aa79290fa33941ccacc1b41e2876d52b2d81f2d607,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
21,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494327,0x7cf47de2cb46483acf34c08080e5e6dbed16a8935374237b9c0127332c4441af,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
22,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494330,0xdd1dc25f147a720bdd1d78160b124424a32449cb4d14c268c5a73b78954cc46b,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
23,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494333,0x2fed9a00d02ed573b4fce4cf9c187b2482045d39b7acdeb722ee638a79d385ca,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
24,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494335,0xab232252c787cfe8724da24a76ee90eb170bc43f5fa0a4297e101899ae8edcee,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
25,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494337,0x756c05a7f8ccc8c53802243b88b6149783aa321435dc54a7d1c5002da90e3741,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
26,0x352e5cdea885dbcabe850259ca8aa6759b5aaa60,21494340,0x4feac66e1762459cad136070ac795443f4f9eb2249dad4bce328d799d07fdcb3,55915,20000000000,55915,20000000000,1118300000000000,100000000000000,1118300000000000,1.000000,0,100000000000000,true
27,0x352e5cdea885dbcabe850259ca8aa6759b5aaa60,21494344,0xb1ac0ee449edebcf42a256c83a7806392389931f25339a940a36e1cb5dc84e1e,55915,20000000000,55915,20000000000,1118300000000000,100000000000000,1118300000000000,1.000000,0,100000000000000,true
28,0x352e5cdea885dbcabe850259ca8aa6759b5aaa60,21494346,0x017de17acb00aebc0d07b1c4909fb2c6438cec300c3fca9c3d906c2d814753ce,55915,20000000000,55915,20000000000,1118300000000000,100000000000000,1118300000000000,1.000000,0,100000000000000,true
29,0x352e5cdea885dbcabe850259ca8aa6759b5aaa60,21494349,0xa8195bd0445ce19f59fba93eb5a3b078c041bd3cf602f8f568744e3453a317bd,55915,20000000000,55915,20000000000,1118300000000000,100000000000000,1118300000000000,1.000000,0,100000000000000,true
30,0x352e5cdea885dbcabe850259ca8aa6759b5aaa60,21494351,0x43069dce9d262d1baaf5367fb41546830b67ce7a7b8cd4b9ff9bdfa1c9ce440d,55915,20000000000,55915,20000000000,1118300000000000,100000000000000,1118300000000000,1.000000,0,100000000000000,true
